ad_set,spend,impressions,clicks,deal_contacts,cost_per_deal
prospecting_web__lal-b2b-conv_b2bconv[24.2.26],4734.71,216926,4911,37,127.97
prospecting_web__lal-existing-customers-conv_b2bconv[2.3.26],4429.98,230368,4451,29,152.76
prospecting_web_lal-existing-customers-conv_b2bconv-ADV[12.3.2026],3891.94,120896,3799,50,77.84
prospecting_web_lal-b2b-conv_b2bconv_UK[10.3.2026],3227.87,163103,2977,25,129.11
prospecting_web_broad_broad_auto_BusinessAngles-UK-Offices-Joel-b2bconv[5.1.26],2656.84,144485,2507,11,241.53
prospecting_web_broad_broad_auto_employeegift_b2bconv[28.11.25],1630.78,80172,3203,7,232.97
prospecting_web_interests_auto_BusinessAngles-Offices-Joel-b2bconv[5.1.26],1624.9,84312,2352,10,162.49
prospecting_web_lal-existing-customers-conv_b2bconv-RVR[23.3.26],1278.62,58166,880,8,159.83
prospecting_web_lal-existing-customers-conv_b2bconv-ADV_noJoel[23.3.2025],1159.3,32613,806,6,193.22
prospecting_web__lal-existing-customers-conv_Bemail[4.3.26],654.16,18721,238,0,
prospecting_web__broad-int_b2bpriority[10.3.2026],423.76,16457,210,0,
prospecting_web_broad_broad_auto_BusinessAngles-Restaurants-Joel[4.9.25],0.0,0,0,0,
prospecting_web_broad_broad_auto_BusinessAngles-Offices-Joel[4.9.25],0.0,0,0,0,
prospecting_web_broad_broad_auto_BusinessAngles-RestaurantsV2-Joel[4.9.25],0.0,0,0,0,
prospecting_web_LAL-Businesses_auto_BusinessAngles-RestaurantsV2-Joel[4.9.25],0.0,0,0,0,
prospecting_web_LAL-Businesses_auto_BusinessAngles-Offices-Joel[4.9.25],0.0,0,0,0,
prospecting_web_LAL-Businesses_auto_BusinessAngles-Restaurants-Joel[4.9.25],0.0,0,0,0,
prospecting_web_broad_broad_auto_BusinessAngles-Offices-Joel-b2bconv[15.9.25],0.0,0,0,0,
prospecting_web_broad_broad_auto_BusinessAngles-Restaurants-Joel-b2bconv[15.9.25],0.0,0,0,0,
prospecting_web_broad_broad_auto_Restaurants-NewEdits[1.11.25],0.0,0,0,0,
prospecting_web_broad_broad_auto_employeeGift-nikita-b2b[30.11.25],0.0,0,0,0,
prospecting_web_broad_broad_auto_BusinessAngles-Offices-Joel-Over50b2bconv[21.11.25],0.0,0,0,0,
prospecting_web_broad_broad_auto_BusinessAngles-Offices-Joel-BusinessEmailConv[12.1.25],0.0,0,0,0,
prospecting_web_interests_broad_auto_BusineessAngles-NewGifs-b2bconv[15.2.26],0.0,0,0,0,
prospecting_web_interests_owner/hr_auto_RiversideB2B-Testimonials-Ofer[19.2.26],0.0,0,0,0,
