ad_set,delivery,spend,impressions,clicks,meta_b2b_form_results,hs_leads_april,less_than_15,15-30,30-100,more_than_100,high_value_30_plus,cpl_april_hs
prospecting_web__lal-b2b-conv_b2bconv[24.2.26],inactive,4734.71,216926,4911,77,16,15,1,0,0,0,295.92
prospecting_web__lal-existing-customers-conv_b2bconv[2.3.26],active,4429.98,230368,4451,63,11,9,1,1,0,1,402.73
prospecting_web_lal-existing-customers-conv_b2bconv-ADV[12.3.2026],active,3891.94,120896,3799,69,36,30,4,2,0,2,108.11
prospecting_web_lal-b2b-conv_b2bconv_UK[10.3.2026],active,3227.87,163103,2977,30,7,5,2,0,0,0,461.12
prospecting_web_broad_broad_auto_BusinessAngles-UK-Offices-Joel-b2bconv[5.1.26],active,2656.84,144485,2507,20,10,8,2,0,0,0,265.68
prospecting_web_broad_broad_auto_employeegift_b2bconv[28.11.25],inactive,1630.78,80172,3203,21,0,0,0,0,0,0,
prospecting_web_interests_auto_BusinessAngles-Offices-Joel-b2bconv[5.1.26],inactive,1624.9,84312,2352,26,0,0,0,0,0,0,
prospecting_web_lal-existing-customers-conv_b2bconv-RVR[23.3.26],inactive,1278.62,58166,880,11,5,5,0,0,0,0,255.72
prospecting_web_lal-existing-customers-conv_b2bconv-ADV_noJoel[23.3.2025],inactive,1159.3,32613,806,10,0,0,0,0,0,0,
prospecting_web__lal-existing-customers-conv_Bemail[4.3.26],inactive,654.16,18721,238,2,0,0,0,0,0,0,
prospecting_web__broad-int_b2bpriority[10.3.2026],inactive,423.76,16457,210,0,0,0,0,0,0,0,
prospecting_web_broad_broad_auto_BusinessAngles-Restaurants-Joel[4.9.25],inactive,0.0,0,0,0,0,0,0,0,0,0,
prospecting_web_broad_broad_auto_BusinessAngles-Offices-Joel[4.9.25],inactive,0.0,0,0,0,0,0,0,0,0,0,
prospecting_web_broad_broad_auto_BusinessAngles-RestaurantsV2-Joel[4.9.25],inactive,0.0,0,0,0,0,0,0,0,0,0,
prospecting_web_LAL-Businesses_auto_BusinessAngles-RestaurantsV2-Joel[4.9.25],inactive,0.0,0,0,0,0,0,0,0,0,0,
prospecting_web_LAL-Businesses_auto_BusinessAngles-Offices-Joel[4.9.25],inactive,0.0,0,0,0,0,0,0,0,0,0,
prospecting_web_LAL-Businesses_auto_BusinessAngles-Restaurants-Joel[4.9.25],inactive,0.0,0,0,0,0,0,0,0,0,0,
prospecting_web_broad_broad_auto_BusinessAngles-Offices-Joel-b2bconv[15.9.25],inactive,0.0,0,0,0,0,0,0,0,0,0,
prospecting_web_broad_broad_auto_BusinessAngles-Restaurants-Joel-b2bconv[15.9.25],inactive,0.0,0,0,0,0,0,0,0,0,0,
prospecting_web_broad_broad_auto_Restaurants-NewEdits[1.11.25],inactive,0.0,0,0,0,0,0,0,0,0,0,
prospecting_web_broad_broad_auto_employeeGift-nikita-b2b[30.11.25],inactive,0.0,0,0,0,0,0,0,0,0,0,
prospecting_web_broad_broad_auto_BusinessAngles-Offices-Joel-Over50b2bconv[21.11.25],inactive,0.0,0,0,0,0,0,0,0,0,0,
prospecting_web_broad_broad_auto_BusinessAngles-Offices-Joel-BusinessEmailConv[12.1.25],inactive,0.0,0,0,0,0,0,0,0,0,0,
prospecting_web_interests_broad_auto_BusineessAngles-NewGifs-b2bconv[15.2.26],inactive,0.0,0,0,0,0,0,0,0,0,0,
prospecting_web_interests_owner/hr_auto_RiversideB2B-Testimonials-Ofer[19.2.26],inactive,0.0,0,0,0,0,0,0,0,0,0,
